ORDER LOG
Order id|Member id|Product id|Product Name|Product quantity|Total Price|Order type|Order status|Timestamp
28b1fa14-e6f4-4d79-849c-373d1d434290|2873c94f-e25d-4a88-8e91-253c0e87b6b3|3|MacBook Pro|3|7500.0|BUY|COMPLETED|2026-03-14T12:10:07.679729300
2a184920-4958-4bc0-a9cb-156831217d0e|2873c94f-e25d-4a88-8e91-253c0e87b6b3|6|iPad Air|40|32000.0|SELL|COMPLETED|2026-03-14T12:11:22.991143800
e8ff5cbf-c1f8-4b52-9e2e-982343b6de18|11cff223-d30e-4a90-9bfb-547650482f2b|6|iPad Air|40|32000.0|BUY|COMPLETED|2026-03-14T14:15:14.184001200
5d25d236-288a-4c13-bba9-25a32762f4da|65685dde-9bc8-447d-9492-ae661bd4b539|10|4K Monitor|10|4500.0|SELL|CANCELLED|2026-03-14T14:16:47.036489800
685a892e-eee6-49d8-8a15-14c5a11f1cac|0ef05c57-5b48-4f7e-9b46-0e6996637192|10|4K Monitor|10|4500.0|SELL|CANCELLED|2026-03-14T14:26:14.402998700
1e3760e1-d121-496c-8207-ef14685df85f|de3124ce-88ba-49ae-b336-81ed6d6281ce|9|Mechanical Keyboard|20|3000.0|BUY|COMPLETED|2026-03-14T14:27:16.942192700
a00a6779-d2a7-4c57-bb49-258d22773d62|2b81de48-89ba-43f3-8809-75f3fab4a6e4|9|Mechanical Keyboard|20|3000.0|BUY|COMPLETED|2026-03-14T14:32:03.845150800
ee0e1749-9a77-4399-a6e6-53feb97353f4|2b81de48-89ba-43f3-8809-75f3fab4a6e4|6|iPad Air|10|8000.0|SELL|COMPLETED|2026-03-14T14:32:56.352457500
bfb5dd8e-e081-4524-b14a-17d90e3b7e0c|2b81de48-89ba-43f3-8809-75f3fab4a6e4|6|iPad Air|5|4000.0|BUY|COMPLETED|2026-03-14T14:36:06.061068400
1836f730-cabc-4027-87d0-7059096ae90a|270a7666-57e4-4dc1-87e1-615e4baa525e|8|Logitech Mouse|5|250.0|BUY|COMPLETED|2026-03-14T15:22:20.093025900
889da45c-a4f3-44ad-a626-c3963b54b823|270a7666-57e4-4dc1-87e1-615e4baa525e|10|4K Monitor|20|9000.0|SELL|COMPLETED|2026-03-14T15:22:47.827646700
2972b807-deca-49b7-ae45-782c72dd2f22|97300788-0397-4199-ab57-afd9d22a405c|6|iPad Air|20|16000.0|BUY|PROCESSING|2026-03-14T15:23:38.121889500
86b07db6-4eff-4e08-b6cb-157e4326b5f0|270a7666-57e4-4dc1-87e1-615e4baa525e|1|iPhone 15|10|12000.0|BUY|PROCESSING|2026-03-14T15:47:47.433841100
cc449eeb-7a8a-4593-9c12-c8ba1961194c|97300788-0397-4199-ab57-afd9d22a405c|3|MacBook Pro|20|50000.0|SELL|PROCESSING|2026-03-14T15:49:26.882442
a66cb865-d153-4e73-b85f-f02eeacdd79a|97300788-0397-4199-ab57-afd9d22a405c|4|Dell XPS 15|20|44000.0|BUY|PROCESSING|2026-03-14T15:50:29.592740100
